v.|amuldaita|amuldaata|зачерпнуть|||||||
v.|amulta|amulta|черпать, исчерпать|||||||
s.|andamine|andami/in’e, -ižen, -št|подача|||||||
s.|andatr|andatr|ондатра|||||||
v.|anta|anta|давать, выдавать|"antaa; ilmaista, antaa tiedoksi,paljastaa, kavaltaa, pettää,luovuttaa (rikollinen maasta)"||||||
v.|anta|anta|подавать|||||||
v.|anta|anta|сдать|||||||
v. refl.|antakse|antakse|сдаваться|||||||
s.|anup|anup|свекровь|||||||
s.|anup|anup|тёща|||||||
s.|app|app|свёкор; тесть|||||||
s.|arbatuz|arbatu/z, -sen, -st|загадка|||||||
s.|ard|ard|перила|||||||
s.|arest|ar’est, -an, -ad|арест|aresti, pidätys||||||
a.|arestuittu|ar’estuitud (KTK)|арестованный|pidätetty||||||
s.|arkan|arkan, -an, -ad|аркан|suopunki||||||
s.|armastand|armastand|ласка|||||||
s.|armastand|armastand|любовь|||||||
a.|armaz|armaz|желанный|||||||
a.|armaz|armaz|ненаглядный|||||||
s.|artel’|art'el’|артель, группа, гурьба, компания, коллектив|artteli||||||
s.|artist|art’ist|актриса|||||||
s.|arttel’|art’el’|орава|||||||
s.|arttel’|art’el’|стадо|||||||
s.|arttel’|art’el’|толпа|||||||
s.|artut’|artug|ртуть|||||||
s.|arv|arv|стоимость|||||||
s.|arv|arv|цена||pidada arvos|ценить||||
v.|ärzüttada|ärz’ü/tada, -tab, -t’ ~ -t’ii|раздразнить|||||||
part.|äskei|äskii|даже|||||||
s.|astij|ast’ij|сосуд|||||||
s.|astijad|ast’ad|посуда|||||||
v.|astuda|asta|шагать|astaa||||||
adv.|astude|ast(t)e|шагом|askelin|mänen astte (KTK)|иду шагом|kävelen askelin|||
s.|atak|atak, -an, -ad|атака|rynnäkkö||||||
v.|atakuida ~ atakuuda (KTK)|atakuida ~ atakuuda (KTK)|атаковать|hyökätä|häin ei atakuunu (KTK)|он не атаковал|hän ei hyökännyt|||
a.|atkav|atkav|грустный|surullinen||||||
s.|atkav|atkav|скука|||||||
adv.|atkav|atkav|скучно|||||||
s.|avaind|avaand|открытие|||||||
v.|avaita|avaata|отворить|||||||
v.|avaita|avaata|отпереть|||||||
v.|avaita|avaata|разинуть|||||||
v.|avaita|avaata|раскрывать|||||||
v.|avaita|avaata|распахнуть|||||||
v.|avata|avata|обнажать|||||||
adv.|avoin|avuun|нараспашку|||||||
adv.|avoin|avuun|настежь|||||||
s.|avoinsuu|avuun/suu|разиня|||||||
s. yhd.|avoinsuu|avuun/suu|ротозей|||||||
v. refl.|azettudakse|azetudakse|останавливаться|||||||
v.|azuda|azuda|делать|||||||
s.|bačk|bačk, -an, -ad|бак|säiliö||||||
s.|badminton|badminton, -an, -ad|бадмитон|sulkapallo||||||
s.|bagaž|bagaž, -an, -ad|багаж|pakaasi, matkatavarat||||||
s.|bagr|bagr, -an, -ad|багор|haka||||||
s.|baidark|baidark, -an, -ad|байдарка|kajakka||||||
s.|bajan|bajan, -an, -ad|баян|harmonikka||||||
s.|bajar’|bajar’, -in, -id|барин (KTK), боярин|herra, pajari||||||
v.|bajuttada|baju/tada, -tab, -t’ ~ -t’ii|убаюкивать|||||||
s.|bakk|bakk|бак|nestesäiliö||||||
s.|balalaik|balalaik, -an, -ad|балалайка|balaikka||||||
s.|balet|balet, -an, -ad|балет|baletti||||||
s.|balkon|balkon, -an, -ad|балкон|parveke||||||
s.|balkon|balkon, -an, -ad|балкон|parveke||||||
s.|baluiččij|baluičij|шалун|||||||
v.|baluida|baluida|шалить|||||||
s.|banan|banan, -an, -ad|банан|banaani||||||
s.|band, -an, -ad|band, -an, -ad|банда|rosvojoukko||||||
s.|banderol’|banderol’|бандероль|pienikokoinen postipaketti||||||
s.|bandit|band’it, -an, -ad|бандит|bandiitti, rosvo||||||
s.|bank|bank, -an, -ad|банка|purkki||||||
s.|bant|bant, -an, -ad|бант|rusetti||||||
s.|baraban|baraban, -an, -ad|барабан|rumpu||||||
v.|barabanida|baraban’i/da, -ib, -i|барабанить|rummuttaa|hüö baraban’itaze|они барабанят|he rummuttavat|||
s.|barak|barak, -an, -ad|барак|parakki||||||
s.|barbahaižil|barbhaažiil|на цыпочках|||||||
s.|barčoi|barčuu ~ barčuo, -n, -d|щавель|suolaheinä, hierakka||||||
s.|bard|bard, -an, -ad|борода|parta||||||
a.|bardakaz|bardakaz|бородатый|parrakas, partainen||||||
s.|barhat|barhat, -an, -ad|бархат|sametti||||||
s.|bariš|bar’iš, -an, -ad (KTK)|барыш|voitto, hyöty||||||
s.|barkas|barkas, -an, -ad|баркас|parkaasi||||||
s.|barometr|barometr, -an, -ad|барометр|ilmapuntari||||||
s.|barrikad|bar’r’ikad, -an, -ad|баррикада|barrikadi||||||
s.|barž|barž, -an, -ad|баржа|proomu, lotja||||||
s.|baskedbol|baskedbol, -an, -ad|баскетбол|koripallo||||||
s.|bašlik|bašl’ik, -an, -ad (KTK)|башлык|paslikka||||||
s.|bassein|bas’s’ein, -an, -ad|бассейн|uima-allas||||||
v.|bastuida|bastu/ida, -ib, -i|бастовать|lakkoilla, olla lakossa|häin ei bastuinu (KTK)|он не бастовал|hän ei ollut lakossa|||
s.|batareik|batar’eik, -an, -ad|батарейка|paristo||||||
s.|batog|batug (IL)|палка|||||||
s.|batog|batug (IL)|трость|||||||
s.|baton|baton, -an, -ad|батон|patonki||||||
s.|batrak|batrak, -an, -ad|батрак|renki||||||
s.|bazar|bazar, -an, -ad|базар|kauppatori||||||
s.|begemot|begemot, -an, -ad|бегемот|virtahepo||||||
s.|begudid|begud’id|бигуди|papiljotit||||||
s.|belet|bel’et (KTK) ~ bil’et, -an, -ad (IL)|билет|lippu||||||
v.|bestoita|bestuota (KTK)|общаться на бесёде; беседовать|seurustella illanistujaisissa; keskustella||||||
s.|biblij|bibl’ij, -an, -ad|Библия|raamattu||||||
s.|bibliotek|bibliot’ek, -an, -ad|библиотека|kirjasto||||||
s.|bies|bies, -an, -ad|бес, чёрт|piru||||||
s.|biibal|biibol|ломоть (хлеба)|||||||
s.|binokl’|binokl’|бинокль|kiikai||||||
s.|bint|bint, -an, -ad|бинт|side||||||
v.|bintuida|bintuida|бинтовать|sitoa (haava)||||||
s.|binzin|binz’in, -an, -ad|бензин|bensiini||||||
s.|biolog|biolog|биолог|biologi||||||
s.|birb|bir’b|дратва|||||||
s.|birboi|birbuu ~ birbuo, -n, -d|верба; Вербное воскресенье|paju; palmusunnuntai||||||
s.|birž|birž|биржа|pörssi||||||
s.|biskvit|biskvit, -an, -ad|бисквит|sokerikakku; kuivakakku||||||
s.|biton|biton, -an, -ad|бидон|tonkk||||||
s.|bitv|bitv, -an, -ad|битва|tappelu||||||
s.|bl’uod|bl’uod, -an, -ad|блюдо|tarjoiluvati, ruokalaji||||||
s.|bl’uod|bl’uod|миска|||||||
s.|blestind|bl’est’ind|лоск|||||||
s.|blücc|bl’ucc|блюдце|aluslautanen||||||
s.|bobaine|boba/an’e, -ažen, -št|игрушка|||||||
s.|bohat|bohat, -an, -ad|богач|rikas mies||||||
a.|bohat|bohat, -an, -ad|богатый, зажиточный|||||||
s.|bohatstv|bohatstv, -an, -ad|богатство|vauraus, rikkaus||||||
s.|boi|boi|бой|taistelu||||||
s.|boic|boic|боец|taistelija||||||
a.|boikij|boikij|удалой|||||||
adv.|bokaspiä|bokas/piä|сбоку|||||||
s.|bokk|bokk|бок|kylki||||||
adv.|bokkah|bokha ~ (Pal) bokkaha|в сторону||(Pal) panda bokkaha|откладывать||||
s.|bombituz|bombitu/z, -sen, -st|бомбёжка|pommitus||||||
s.|bomböšk|bomböšk, -an, -ad|бомбёжка|pommitus||||||
s.|borččuj|borčuj|борец|||||||
v.|borčuida|(Pal) borčuuda|бороться|taistella, kamppailla||||||
v. refl.|borčuidakse|borčuidakse|бороться|kamppailla|ed ehtnu borčuidakse (KTK)|ты не успел побороться|et ehtinyt kamppailla|||
s. dem.|bošaine|boša/an’e, -ažen, -št|барашек|pieni pässi||||||
s.|bošš|bošš, bošin, boššid|баран|pässi||||||
v. refl.|breidakse|br’eidakse|бриться, побриться|ajaa partaansa||||||
v.|briezguida|br’iezguida|брезговать|inhota, hylkiä, halveksia||||||
s. mon.|brizgad|brizgad|брызги|roiskeet, pärskeet||||||
v.|brizgoita|brizguuta|брызгать|roiskuttaa, purskahtaa||||||
v.|briznida|brizn’ida|брызнуть|roiskia, pärskyttää||||||
s.|bronhit|bronhit, -an, -ad|бронхит|keuhkoputkentulehdus||||||
s.|brošk|brošk, -an, -ad|брошка|rintaneula, brošši||||||
s.|bross|bross|просо|||||||
s.|bross|bross|пшено|||||||
s.|brükad|br’ukad|брюки|housut||||||
s.|brükv|br’ukv, -an, -ad|брюква|lanttu||||||
s.|buat’koi|buat’kuu|свёкор|||||||
s.|buat’koi|buat’kuu|тесть|||||||
s.|bučč|bučč, bučin, buččid|бочка|tynnyri||||||
s.|bučiine|buči/in’e, -ižen, -št|бочонок|pieni tynnyri||||||
s.|büdžet|büd’žet, -an, -ad|бюджет|budjetti||||||
s.|buket|buket, -an, -ad|букет|kukkakimppu||||||
s.|bukv|bukv, -an, -ad|буква|kirjain||||||
s.|bukvar’|bukvar’|букварь|aapinen||||||
s.|bulafk|bulafk, -an, -ad|булавка|nuppineula||||||
s.|bulk|bulk, -an, -ad|булка|pulla, sämpylä||||||
s.|bulkuine|(Pal) bul’k/uun’e, -uužen, -ušt|прыщ|||||||
s.|bülleten’|bül’l’et’en’|бюллетень|tiedote. vaalilippu||||||
s.|bumag|bumag, -an, -ad|бумага|paperi||||||
s.|bumag|bumag|бумага||bumag, kudambad ei pida|бумага, которая не нужна||||
adv.|bumagahine|bumagahi/in’e, -ižen, -št|бумажный|paperinen||||||
s.|bumazei|bumaz’ei|фланель|||||||
v.|burišta|bur’išta|бормотать, бурчать, ворчать|mutista, kurista, nurista||||||
v.|burišta|bur’išta|жужжать|||||||
v.|burišta|bur’išta|роптать|||||||
s.|büro|büro, -n, -d|бюро|toimisto||||||
s.|buru|buru|ропот|||||||
s.|busad|bus/ad, -iin, -iid|бусы|helmet||||||
s.|butk|butk|конура|||||||
s.|čahotk|čahotk|чахотка|||||||
a.|čainij|čainij|чайная (кафе)|||||||
s.|čajunik|čain’ik|чайник|||||||
v.|carstvuida|carstvuida|царствовать|||||||
s.|časoun’|časoun’|часовня|||||||
s.|čast’|čast’|часть|osa||||||
s.|čehl|čehl|чехол|||||||
s.|celindr|cel’indr|цилиндр|||||||
s.|cement|cement|цемент|||||||
